Name,Response rate,Popularity,Room Score,Service Score,Food Score,Location Score,Overall Score
Residence Inn Denver City Center,39%,82%,76,73,69,87,84
Residence Inn Denver Highlands Ranch,98%,45%,75,94,72,94,85
Residence Inn Denver Stapleton,98%,49%,68,77,82,95,86
Riveria Motel,0%,,92,80,,80,67
Rocky Mountain Motel,0%,,50,0,100,0,59
Rodeway Inn & Suites,6%,37%,24,52,27,65,61
Rodeway Inn Denver Downtown,86%,13%,24,76,85,89,63
Rodeway Inn Westminster [Massachusetts],1%,,39,75,44,75,64
Sand and Sage Motel,0%,13%,53,100,0,100,74
Shepherd Motel,92%,33%,83,100,,100,80
Sheraton Denver Downtown Hotel,28%,47%,53,73,70,86,81
Sheraton Denver West Hotel,68%,86%,62,88,62,87,85
Sheri’S Motel,0%,,20,0,,,63
Skyline Motel,0%,88%,40,0,,,47
Sleep Inn & Suites Denver International Airport,52%,51%,79,80,78,84,85
Sonder — Atelier [DEN - S - UNIV2450],36%,,82,81,80,91,92
Sonder — The Essex [DEN - E - 16TH630],10%,,81,95,97,94,91
Sonesta Denver,31%,72%,64,82,76,87,83
SpringHill Suites by Marriott Denver Airport,22%,53%,77,88,55,92,85
SpringHill Suites Denver Aurora/Fitzsimons,39%,,69,79,66,98,83
SpringHill Suites Denver Downtown,65%,97%,79,90,80,87,90
SpringHill Suites Denver North/Westminster,96%,52%,55,69,59,93,80
Star Motel,0%,8%,33,55,50,100,53
Stay Inn Denver,11%,19%,81,69,100,100,65
Staybridge Suites Aurora/Naperville,3%,30%,48,79,68,93,86
Staybridge Suites Denver Downtown,10%,39%,63,76,70,70,79
Staybridge Suites Denver International Airport,90%,87%,84,92,90,89,92
Staybridge Suites Denver South - Highlands Ranch,13%,,81,87,83,91,90
Staybridge Suites Denver South - Park Meadows,22%,62%,74,88,88,95,88
Staybridge Suites Denver Stapleton,93%,,72,72,70,97,87
Super 8 by Wyndham Denver Central,41%,13%,29,58,37,61,59
Super 8 Denver Midtown,85%,36%,31,76,77,83,66
Super 8 Denver Stapleton,1%,10%,32,61,40,77,60
Super 8 Motel Westminster Denver,45%,,37,71,62,84,69
Super 8 Westminster,98%,89%,60,76,47,81,75
Table Mountain Inn,22%,72%,78,91,83,92,91
Thayers Inn,97%,,64,87,53,98,81
"the ART, a hotel",80%,98%,74,88,79,86,86
The Boston Inn Westminster [Maryland],82%,,58,82,64,97,70
"The Brown Palace Hotel and Spa, Autograph Collection",12%,89%,60,84,84,89,88
The Crawford Hotel,98%,99%,80,89,93,94,91
The Crowne Plaza Denver Airport Convention Center,39%,43%,36,56,37,71,74
The Curtis Denver - a DoubleTree by Hilton Hotel,50%,81%,56,80,76,86,83
"The Golden Hotel, an Ascend Collection hotel",69%,,81,97,94,97,92
The Inn at Cherry Creek,0%,43%,67,100,,,95
"The Jacquard, Autograph Collection",45%,81%,75,82,82,91,91
The Maven Hotel at Dairy Block,99%,96%,83,87,96,96,93
The Oxford Hotel,43%,56%,75,93,92,97,94
The Ramble Hotel,60%,62%,71,87,89,86,92
The Ritz - Carlton Denver,9%,73%,67,80,77,86,84
The Source Hotel,59%,53%,73,79,79,79,87
The Westin Denver Downtown,96%,88%,68,75,59,90,85
The Westin Denver International Airport,30%,83%,84,77,64,87,91
The Westin Westminster,46%,63%,75,79,65,89,86
TownePlace Suites Denver Airport at Gateway Park,31%,89%,75,86,91,84,84
TownePlace Suites Denver Downtown,7%,70%,79,80,66,81,77
TownePlace Suites Denver Southeast,13%,59%,54,60,45,80,70
TownePlace Suites Denver Southwest/Littleton,33%,67%,74,90,57,93,87
TownePlace Suites Denver West/Federal Center,51%,23%,74,86,47,85,83
TownePlace Suites Tacoma Lakewood,65%,,72,89,58,100,87
Trade Winds Motel,0%,,22,100,,100,72
Travelodge Cleveland Lakewood,74%,100%,48,83,54,91,67
Travelodge Lakewood,68%,71%,57,83,58,83,73
Tru by Hilton Denver,98%,80%,71,97,74,87,90
Tru by Hilton Denver Airport Tower Road,54%,45%,58,84,74,85,81
Tru by Hilton Denver Downtown Convention Center,61%,43%,45,67,72,85,71
Valli-Hi Motel,52%,30%,79,78,100,54,70
Warwick Denver Hotel,84%,80%,61,74,65,79,75
Weekly Inn,29%,,64,81,,100,69
Western Motel,12%,50%,60,100,,100,62
Western Motor Inn of Denver,0%,43%,46,67,,100,53
Westminster Motor Inn,0%,,85,100,100,0,74
White Rock Motel,0%,32%,62,71,,75,64
White Swan Motel,0%,,50,86,,0,57
Wingate by Wyndham Denver Airport,5%,39%,74,81,50,94,88
Wolf’S Motor Inn,0%,0%,25,50,,100,53
WoodSpring Suites Denver Aurora,89%,69%,32,50,56,88,58
Woolleys Classic Suites,78%,,91,82,78,90,93
